"Summary","Description","Start Date","Due Date","Epic Name","Labels"
"[Dunham Summit] Phase 1: Mission & Strategy","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 1: Mission & Strategy

To-Do:
[ ] Define primary objective for the conference (leads, awareness, or partnerships)
[ ] Set target MQLs, SQLs, and post-session meetings
[ ] Define speaking session CTA and desired audience action
[ ] Confirm budget allocation and minimum ROI threshold
[ ] Get faith alignment sign-off from leadership
[ ] Assign event owner and primary speaking lead","2025-09-16","2025-10-14","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 2: Theme & Audience","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 2: Theme & Audience

To-Do:
[ ] Align session messaging with the Dunham Summit audience profile
[ ] Identify ICP personas most likely to be in the room
[ ] Draft full presentation outline and key talking points
[ ] Design handouts, leave-behinds, or post-session digital resources
[ ] Build a targeted pre-conference outreach list for expected attendees
[ ] Get content and messaging sign-off from leadership","2025-10-28","2025-11-11","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 3: Systems & Planning","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 3: Systems & Planning

To-Do:
[ ] Configure HubSpot to capture leads from the speaking session
[ ] Build the run-of-show and timeline for the speaking slot
[ ] Coordinate all session logistics with the Dunham Summit organizer
[ ] Test and finalize slide deck, A/V setup, and contingency plan
[ ] Confirm travel and accommodation for the speaking team","2025-11-25","2025-12-09","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 4: Final Prep","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 4: Final Prep

To-Do:
[ ] Complete final run-through and rehearsal of the full presentation
[ ] Confirm all session logistics with the organizer (time, room, A/V)
[ ] Assign an on-site support owner to handle logistics day-of
[ ] Prepare post-session follow-up links and resource delivery mechanism
[ ] Get final creative and content sign-off","2025-12-23","2026-01-05","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 5: Execution","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 5: Execution

To-Do:
[ ] Arrive early — confirm A/V, clicker, and stage setup are working
[ ] Deliver the speaking session as prepared
[ ] Facilitate Q&A and engage with the audience
[ ] Collect contact info and leads from session attendees
[ ] Flag the top 5 hottest prospects for same-day follow-up","2026-01-06","2026-01-08","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 6: Follow-up","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 6: Follow-up

To-Do:
[ ] Upload all session leads to HubSpot within 48 hours
[ ] Send personalized follow-up emails referencing the session content
[ ] Activate the post-event nurture sequence in HubSpot
[ ] Brief the sales team on high-priority prospects to contact
[ ] Share the session recording or deck with attendees if available","2026-01-09","2026-01-15","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 7: ROI Analysis","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30-day MQL and pipeline report tied to Dunham Summit leads
[ ] Calculate speaking ROI vs. the event investment
[ ] Document session performance: attendance, leads, and conversions
[ ] Deliver the 60-day and 90-day funnel updates to leadership
[ ] Use data to evaluate Dunham Summit for future year investment","2026-02-07","2026-02-07","Dunham Summit","event-marketing"
"[Pastors Retreat (1)] Phase 1: Mission & Strategy","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 1: Mission & Strategy

To-Do:
[ ] Define retreat purpose and spiritual/relationship objectives
[ ] Set attendance target and guest qualification criteria
[ ] Confirm $80,000 budget and get the ROI framework approved
[ ] Document faith guardrails and hospitality standards for the experience
[ ] Assign retreat owner and planning team
[ ] Begin venue research and create a shortlist of 2–3 options","2025-12-31","2026-01-28","Pastors Retreat (1)","event-marketing"
"[Pastors Retreat (1)] Phase 2: Theme & Audience","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 2: Theme & Audience

To-Do:
[ ] Finalize retreat theme, visual identity, and invitation tone
[ ] Build the finalized ICP guest list of qualified pastors and ministry leaders
[ ] Develop a personalized invitation strategy and outreach plan
[ ] Finalize messaging, copy, and design for all invitation materials
[ ] Send invitations and track RSVPs in HubSpot","2026-02-11","2026-02-25","Pastors Retreat (1)","event-marketing"
"[Pastors Retreat (1)] Phase 3: Systems & Planning","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 3: Systems & Planning

To-Do:
[ ] Configure HubSpot for full guest tracking and RSVP management
[ ] Build a detailed run-of-show and session schedule for the retreat
[ ] Execute venue contract and lock the room block
[ ] Confirm all vendors: A/V, catering, activities, and transportation
[ ] Finalize critical path and risk register
[ ] Coordinate travel, ground transportation, and room assignments for all guests","2026-03-11","2026-03-25","Pastors Retreat (1)","event-marketing"
"[Pastors Retreat (1)] Phase 4: Final Prep","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 4: Final Prep

To-Do:
[ ] Finalize the complete on-site experience flow: sessions, meals, and activities
[ ] Lock the staffing plan and assign each team member their role
[ ] Confirm all guest travel and accommodation details are set
[ ] Prepare and ship all on-site materials, gifts, and branded collateral
[ ] Send the final retreat confirmation and detailed itinerary to every attendee
[ ] Get strategic, creative, and operations sign-off","2026-04-08","2026-04-21","Pastors Retreat (1)","event-marketing"
"[Pastors Retreat (1)] Phase 5: Execution","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 5: Execution

To-Do:
[ ] Personally welcome and onboard each attendee upon arrival
[ ] Execute all sessions and activities per the run-of-show
[ ] Capture detailed conversation notes for every attendee throughout the retreat
[ ] Identify high-priority relationship moments to highlight in follow-up
[ ] Team debrief each evening — review the day and adjust the next-day plan","2026-04-22","2026-04-24","Pastors Retreat (1)","event-marketing"
"[Pastors Retreat (1)] Phase 6: Follow-up","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 6: Follow-up

To-Do:
[ ] Send personalized, tailored thank-you notes to every attendee within 48 hours
[ ] Activate the 90-day post-retreat nurture sequence in HubSpot
[ ] Upload all attendees with detailed context and conversation notes to CRM
[ ] Identify the top retreat-to-pipeline opportunities
[ ] Schedule follow-up discovery or check-in calls with warm prospects","2026-04-25","2026-05-01","Pastors Retreat (1)","event-marketing"
"[Pastors Retreat (1)] Phase 7: ROI Analysis","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30/60/90-day pipeline and revenue report tied to retreat attendees
[ ] Calculate cost per qualified relationship built
[ ] Document retreat outcomes, attendee feedback, and key highlights
[ ] Deliver the full ROI and relationship impact report to leadership","2026-05-24","2026-05-24","Pastors Retreat (1)","event-marketing"
"[NRB Convention] Phase 1: Mission & Strategy","Event: NRB Convention
Location: Nashville, TN
Phase 1: Mission & Strategy

To-Do:
[ ] Define primary objectives: lead generation, meetings booked, brand visibility
[ ] Set MQL, SQL, and deal targets for the event
[ ] Define booth CTA and speaking session CTA
[ ] Confirm booth/sponsorship budget and minimum ROI threshold
[ ] Get faith alignment sign-off from leadership
[ ] Assign booth owner, speaking lead, and full team roster","2025-10-28","2025-11-25","NRB Convention","event-marketing"
"[NRB Convention] Phase 2: Theme & Audience","Event: NRB Convention
Location: Nashville, TN
Phase 2: Theme & Audience

To-Do:
[ ] Develop booth messaging, tagline, and visual concept
[ ] Align speaking presentation messaging with booth theme
[ ] Define ICP personas attending the conference
[ ] Build the pre-conference outreach and meeting-booking target list
[ ] Get approval on booth graphics, slide decks, demos, and handouts
[ ] Launch the pre-event email sequence and meeting-booking campaign","2025-12-09","2025-12-23","NRB Convention","event-marketing"
"[NRB Convention] Phase 3: Systems & Planning","Event: NRB Convention
Location: Nashville, TN
Phase 3: Systems & Planning

To-Do:
[ ] Integrate HubSpot with badge scanner for seamless lead capture
[ ] Set up event tracking with UTM parameters for all links
[ ] Build detailed run-of-show covering booth hours and speaking sessions
[ ] Test the full lead capture workflow from badge scan to CRM entry
[ ] Confirm the meeting booking system is live and linked to team calendars
[ ] Finalize booth shipping logistics and confirm setup window","2026-01-06","2026-01-20","NRB Convention","event-marketing"
"[NRB Convention] Phase 4: Final Prep","Event: NRB Convention
Location: Nashville, TN
Phase 4: Final Prep

To-Do:
[ ] Brief and train all booth staff on messaging, goals, and lead qualification
[ ] Activate meeting booking links and confirm the full on-site schedule
[ ] Confirm all booth materials, demos, and giveaways have shipped
[ ] Assign on-site owner and designate a backup in case of emergency
[ ] Walk through the run-of-show one final time with the full team
[ ] Get creative, strategic, and operations sign-off on all assets","2026-02-03","2026-02-16","NRB Convention","event-marketing"
"[NRB Convention] Phase 5: Execution","Event: NRB Convention
Location: Nashville, TN
Phase 5: Execution

To-Do:
[ ] Set up booth on arrival — confirm all materials are present and functional
[ ] Run morning check-ins each day to hit daily lead and meeting targets
[ ] Capture all leads via badge scanner and ensure CRM sync is working
[ ] Deliver all scheduled speaking sessions
[ ] Flag hot prospects in real time and brief the team each evening
[ ] Nightly team debrief: recap leads, hot prospects, and next-day priorities","2026-02-17","2026-02-20","NRB Convention","event-marketing"
"[NRB Convention] Phase 6: Follow-up","Event: NRB Convention
Location: Nashville, TN
Phase 6: Follow-up

To-Do:
[ ] Upload all event leads to HubSpot within 48 hours of event close
[ ] Send personalized follow-up emails to hot leads within 72 hours
[ ] Activate the full post-event nurture sequence in HubSpot
[ ] Share the event debrief and top prospect list with the sales team
[ ] Flag SQL-ready leads for immediate SDR outreach","2026-02-21","2026-02-27","NRB Convention","event-marketing"
"[NRB Convention] Phase 7: ROI Analysis","Event: NRB Convention
Location: Nashville, TN
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30-day MQL, SQL, and pipeline report from event leads
[ ] Calculate total event ROI vs. all-in budget
[ ] Deliver 60-day and 90-day funnel updates to leadership
[ ] Document booth performance, session outcomes, and lessons learned
[ ] Share the final ROI report and evaluate conference for next year","2026-03-22","2026-03-22","NRB Convention","event-marketing"
"[April Event (TBD)] Phase 1: Mission & Strategy","Event: April Event (TBD)
Location: Dallas, TX
Phase 1: Mission & Strategy

To-Do:
[ ] Define event purpose and VIP relationship objectives
[ ] Confirm or select the specific sporting event, venue, and date
[ ] Set attendance target (~18–23 VIP guests) and guest list criteria
[ ] Confirm $30,000 budget and get leadership approval
[ ] Document faith guardrails and hospitality standards
[ ] Assign event owner and host team","2026-01-05","2026-02-02","April Event (TBD)","event-marketing"
"[April Event (TBD)] Phase 2: Theme & Audience","Event: April Event (TBD)
Location: Dallas, TX
Phase 2: Theme & Audience

To-Do:
[ ] Build the finalized VIP guest list in HubSpot with priority tiers
[ ] Draft personalized invitation messaging for each guest or segment
[ ] Confirm invite format: digital, physical, or hybrid
[ ] Align branded visuals and experience theme for the event
[ ] Send invitations and track all RSVPs in HubSpot","2026-02-16","2026-03-02","April Event (TBD)","event-marketing"
"[April Event (TBD)] Phase 3: Systems & Planning","Event: April Event (TBD)
Location: Dallas, TX
Phase 3: Systems & Planning

To-Do:
[ ] Purchase or confirm ticket block, suite, or VIP access
[ ] Finalize all logistics: transportation, parking, catering, and hospitality setup
[ ] Configure HubSpot for guest tracking and post-event follow-up
[ ] Define specific conversation goals or a natural CTA for each key guest
[ ] Build a detailed run-of-show for the event evening","2026-03-16","2026-03-30","April Event (TBD)","event-marketing"
"[April Event (TBD)] Phase 4: Final Prep","Event: April Event (TBD)
Location: Dallas, TX
Phase 4: Final Prep

To-Do:
[ ] Confirm final headcount and lock the VIP guest list
[ ] Prepare branded guest experience materials and personalized gifts
[ ] Assign a primary event host and on-site support staff
[ ] Brief every team member on individual conversation goals for each guest
[ ] Get final approval on all logistics, gifts, and the overall experience plan","2026-04-13","2026-04-26","April Event (TBD)","event-marketing"
"[April Event (TBD)] Phase 5: Execution","Event: April Event (TBD)
Location: Dallas, TX
Phase 5: Execution

To-Do:
[ ] Welcome each VIP guest personally upon arrival
[ ] Execute hospitality and the guest experience per the run-of-show
[ ] Capture key conversation notes for every guest in real time
[ ] Identify pipeline opportunities and follow-up priorities on the spot
[ ] Communicate PRAY.COM's mission and value naturally throughout the evening","2026-04-27","2026-04-29","April Event (TBD)","event-marketing"
"[April Event (TBD)] Phase 6: Follow-up","Event: April Event (TBD)
Location: Dallas, TX
Phase 6: Follow-up

To-Do:
[ ] Send personalized thank-you messages to every guest within 24 hours
[ ] Activate the 90-day post-event nurture sequence in HubSpot
[ ] Upload all guests with full conversation notes to CRM
[ ] Flag guests ready for SDR or direct sales outreach
[ ] Share the event debrief with the sales team within 48 hours","2026-04-30","2026-05-06","April Event (TBD)","event-marketing"
"[April Event (TBD)] Phase 7: ROI Analysis","Event: April Event (TBD)
Location: Dallas, TX
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30/60/90-day pipeline report tied to VIP event guests
[ ] Calculate ROI vs. $30,000 event budget
[ ] Document relationships built, pipeline created, and opportunities identified
[ ] Share the final performance report with leadership","2026-05-29","2026-05-29","April Event (TBD)","event-marketing"
"[America Reads the Bible] Phase 1: Mission & Strategy","Event: America Reads the Bible
Location: Washington, D.C.
Phase 1: Mission & Strategy

To-Do:
[ ] Define conference objective: leads, awareness, or relationship building
[ ] Confirm participation format (attending, co-sponsoring, or speaking)
[ ] Set success targets: MQLs, meetings booked, and key contacts made
[ ] Confirm budget and get leadership approval
[ ] Get faith alignment sign-off
[ ] Assign event owner and attending team","2025-12-29","2026-01-26","America Reads the Bible","event-marketing"
"[America Reads the Bible] Phase 2: Theme & Audience","Event: America Reads the Bible
Location: Washington, D.C.
Phase 2: Theme & Audience

To-Do:
[ ] Align PRAY.COM messaging with the specific conference audience
[ ] Define ICP profile and lead qualification criteria for this event
[ ] Prepare conference-appropriate materials, handouts, and collateral
[ ] Build a pre-conference outreach list of expected attendees
[ ] Get all messaging and materials reviewed and approved","2026-02-09","2026-02-23","America Reads the Bible","event-marketing"
"[America Reads the Bible] Phase 3: Systems & Planning","Event: America Reads the Bible
Location: Washington, D.C.
Phase 3: Systems & Planning

To-Do:
[ ] Configure HubSpot to capture leads and track interactions at the event
[ ] Finalize travel, hotel, and on-site logistics for the attending team
[ ] Confirm any sponsorship deliverables or session commitments due to organizer
[ ] Build a daily schedule and run-of-show for the attending team","2026-03-09","2026-03-23","America Reads the Bible","event-marketing"
"[America Reads the Bible] Phase 4: Final Prep","Event: America Reads the Bible
Location: Washington, D.C.
Phase 4: Final Prep

To-Do:
[ ] Confirm final staffing and designate the on-site owner
[ ] Pack or ship all materials, handouts, and branded items
[ ] Brief the attending team on messaging, goals, and lead qualification criteria
[ ] Confirm any pre-scheduled meetings or booking slots","2026-04-06","2026-04-19","America Reads the Bible","event-marketing"
"[America Reads the Bible] Phase 5: Execution","Event: America Reads the Bible
Location: Washington, D.C.
Phase 5: Execution

To-Do:
[ ] Attend all relevant sessions and actively represent PRAY.COM
[ ] Capture qualified leads and hold meaningful conversations with ICP contacts
[ ] Log key contact notes in real time or immediately after each session
[ ] Flag top prospects for immediate post-event follow-up","2026-04-20","2026-04-21","America Reads the Bible","event-marketing"
"[America Reads the Bible] Phase 6: Follow-up","Event: America Reads the Bible
Location: Washington, D.C.
Phase 6: Follow-up

To-Do:
[ ] Upload all leads and contacts to HubSpot within 48 hours
[ ] Activate the post-event nurture sequence
[ ] Send personalized follow-up messages to every key contact
[ ] Share the conference debrief and top contact list with the sales team","2026-04-22","2026-04-28","America Reads the Bible","event-marketing"
"[America Reads the Bible] Phase 7: ROI Analysis","Event: America Reads the Bible
Location: Washington, D.C.
Phase 7: ROI Analysis

To-Do:
[ ] Pull 30-day report on leads, meetings booked, and pipeline created
[ ] Calculate event ROI vs. total conference investment
[ ] Document key insights, standout contacts, and recommendations
[ ] Deliver the final event performance summary to leadership","2026-05-21","2026-05-21","America Reads the Bible","event-marketing"
"[MegaMetro] Phase 1: Mission & Strategy","Event: MegaMetro
Location: Boston, MA
Phase 1: Mission & Strategy

To-Do:
[ ] Define conference objective: leads, awareness, or relationship building
[ ] Confirm participation format (attending, co-sponsoring, or speaking)
[ ] Set success targets: MQLs, meetings booked, and key contacts made
[ ] Confirm budget and get leadership approval
[ ] Get faith alignment sign-off
[ ] Assign event owner and attending team","2026-01-04","2026-02-01","MegaMetro","event-marketing"
"[MegaMetro] Phase 2: Theme & Audience","Event: MegaMetro
Location: Boston, MA
Phase 2: Theme & Audience

To-Do:
[ ] Align PRAY.COM messaging with the specific conference audience
[ ] Define ICP profile and lead qualification criteria for this event
[ ] Prepare conference-appropriate materials, handouts, and collateral
[ ] Build a pre-conference outreach list of expected attendees
[ ] Get all messaging and materials reviewed and approved","2026-02-15","2026-03-01","MegaMetro","event-marketing"
"[MegaMetro] Phase 3: Systems & Planning","Event: MegaMetro
Location: Boston, MA
Phase 3: Systems & Planning

To-Do:
[ ] Configure HubSpot to capture leads and track interactions at the event
[ ] Finalize travel, hotel, and on-site logistics for the attending team
[ ] Confirm any sponsorship deliverables or session commitments due to organizer
[ ] Build a daily schedule and run-of-show for the attending team","2026-03-15","2026-03-29","MegaMetro","event-marketing"
"[MegaMetro] Phase 4: Final Prep","Event: MegaMetro
Location: Boston, MA
Phase 4: Final Prep

To-Do:
[ ] Confirm final staffing and designate the on-site owner
[ ] Pack or ship all materials, handouts, and branded items
[ ] Brief the attending team on messaging, goals, and lead qualification criteria
[ ] Confirm any pre-scheduled meetings or booking slots","2026-04-12","2026-04-25","MegaMetro","event-marketing"
"[MegaMetro] Phase 5: Execution","Event: MegaMetro
Location: Boston, MA
Phase 5: Execution

To-Do:
[ ] Attend all relevant sessions and actively represent PRAY.COM
[ ] Capture qualified leads and hold meaningful conversations with ICP contacts
[ ] Log key contact notes in real time or immediately after each session
[ ] Flag top prospects for immediate post-event follow-up","2026-04-26","2026-04-28","MegaMetro","event-marketing"
