"Summary","Description","Start Date","Due Date","Epic Name","Labels"
"[BCI Conference] Phase 1: Mission & Strategy","Event: BCI Conference
Location: Atlanta, GA
Phase 1: Mission & Strategy

To-Do:
[ ] Define sponsorship objective: brand reach, relationship building, or leads
[ ] Confirm BCI Conference sponsorship tier and full list of deliverables
[ ] Set measurable success metrics: impressions, leads, or key relationships
[ ] Confirm $15,000 sponsorship budget and get leadership approval
[ ] Get faith alignment sign-off from leadership
[ ] Assign sponsorship owner and attending team member(s)
[ ] NOTE: BCI Conference (Jun 19–20, Atlanta) conflicts with June Event (Jun 19–21, Dallas) — plan team split now","2026-02-27","2026-03-27","BCI Conference","event-marketing"
"[BCI Conference] Phase 2: Theme & Audience","Event: BCI Conference
Location: Atlanta, GA
Phase 2: Theme & Audience

To-Do:
[ ] Adapt PRAY.COM brand messaging to fit the BCI Conference audience and tone
[ ] Confirm expected audience size, key attendee profiles, and reach
[ ] Prepare or adapt all brand assets for sponsor placements
[ ] Identify target attendees for direct relationship building","2026-04-10","2026-04-24","BCI Conference","event-marketing"
"[BCI Conference] Phase 3: Systems & Planning","Event: BCI Conference
Location: Atlanta, GA
Phase 3: Systems & Planning

To-Do:
[ ] Deliver all required sponsorship assets to the BCI organizer by their deadline
[ ] Define PRAY.COM's CTA or lead capture mechanism at the event
[ ] Secure any pre-event or post-event touchpoints with BCI organizers
[ ] Confirm travel and logistics for attending team members
[ ] Coordinate with June Event team on the split-team logistics plan","2026-05-08","2026-05-22","BCI Conference","event-marketing"
"[BCI Conference] Phase 4: Final Prep","Event: BCI Conference
Location: Atlanta, GA
Phase 4: Final Prep

To-Do:
[ ] Confirm all sponsorship assets are correctly placed and live
[ ] Set up attribution tracking for any PRAY.COM CTAs or links at the event
[ ] Brief attending team on relationship targets, goals, and messaging
[ ] Finalize the June Event / BCI split-team assignments","2026-06-05","2026-06-18","BCI Conference","event-marketing"
"[BCI Conference] Phase 5: Execution","Event: BCI Conference
Location: Atlanta, GA
Phase 5: Execution

To-Do:
[ ] Attend the BCI Conference and represent the PRAY.COM sponsorship presence
[ ] Engage with key attendees and nonprofit or ministry leaders
[ ] Capture and log contact notes for any new relationships
[ ] Confirm sponsor deliverables (signage, digital mentions, stage mentions) are fulfilled","2026-06-19","2026-06-20","BCI Conference","event-marketing"
"[BCI Conference] Phase 6: Follow-up","Event: BCI Conference
Location: Atlanta, GA
Phase 6: Follow-up

To-Do:
[ ] Follow up with every key contact from BCI Conference within 48 hours
[ ] Upload all new contacts to HubSpot
[ ] Activate a targeted post-event follow-up sequence for warm relationships","2026-06-21","2026-06-27","BCI Conference","event-marketing"
"[BCI Conference] Phase 7: ROI Analysis","Event: BCI Conference
Location: Atlanta, GA
Phase 7: ROI Analysis

To-Do:
[ ] Measure brand reach, audience impressions, and sponsor deliverable fulfillment
[ ] Calculate sponsorship ROI vs. $15,000 investment
[ ] Evaluate relationship outcomes against the original objectives
[ ] Deliver the post-event sponsorship summary to leadership","2026-07-20","2026-07-20","BCI Conference","event-marketing"
"[Pastors Retreat (2)] Phase 1: Mission & Strategy","Event: Pastors Retreat (2)
Location: TBD
Phase 1: Mission & Strategy

To-Do:
[ ] Define retreat purpose and spiritual/relationship objectives
[ ] Set attendance target and guest qualification criteria
[ ] Confirm $80,000 budget and get the ROI framework approved
[ ] Document faith guardrails and hospitality standards for the experience
[ ] Assign retreat owner and planning team
[ ] Begin venue research and create a shortlist of 2–3 options","2026-03-04","2026-04-01","Pastors Retreat (2)","event-marketing"
"[Pastors Retreat (2)] Phase 2: Theme & Audience","Event: Pastors Retreat (2)
Location: TBD
Phase 2: Theme & Audience

To-Do:
[ ] Finalize retreat theme, visual identity, and invitation tone
[ ] Build the finalized ICP guest list of qualified pastors and ministry leaders
[ ] Develop a personalized invitation strategy and outreach plan
[ ] Finalize messaging, copy, and design for all invitation materials
[ ] Send invitations and track RSVPs in HubSpot","2026-04-15","2026-04-29","Pastors Retreat (2)","event-marketing"
"[Pastors Retreat (2)] Phase 3: Systems & Planning","Event: Pastors Retreat (2)
Location: TBD
Phase 3: Systems & Planning

To-Do:
[ ] Configure HubSpot for full guest tracking and RSVP management
[ ] Build a detailed run-of-show and session schedule for the retreat
[ ] Execute venue contract and lock the room block
[ ] Confirm all vendors: A/V, catering, activities, and transportation
[ ] Finalize critical path and risk register
[ ] Coordinate travel, ground transportation, and room assignments for all guests","2026-05-13","2026-05-27","Pastors Retreat (2)","event-marketing"
"[Pastors Retreat (2)] Phase 4: Final Prep","Event: Pastors Retreat (2)
Location: TBD
Phase 4: Final Prep

To-Do:
[ ] Finalize the complete on-site experience flow: sessions, meals, and activities
[ ] Lock the staffing plan and assign each team member their role
[ ] Confirm all guest travel and accommodation details are set
[ ] Prepare and ship all on-site materials, gifts, and branded collateral
[ ] Send the final retreat confirmation and detailed itinerary to every attendee
[ ] Get strategic, creative, and operations sign-off","2026-06-10","2026-06-23","Pastors Retreat (2)","event-marketing"
"[Pastors Retreat (2)] Phase 5: Execution","Event: Pastors Retreat (2)
Location: TBD
Phase 5: Execution

To-Do:
[ ] Personally welcome and onboard each attendee upon arrival
[ ] Execute all sessions and activities per the run-of-show
[ ] Capture detailed conversation notes for every attendee throughout the retreat
[ ] Identify high-priority relationship moments to highlight in follow-up
[ ] Team debrief each evening — review the day and adjust the next-day plan","2026-06-24","2026-06-26","Pastors Retreat (2)","event-marketing"
"[Pastors Retreat (2)] Phase 6: Follow-up","Event: Pastors Retreat (2)
Location: TBD
Phase 6: Follow-up

To-Do:
[ ] Send personalized, tailored thank-you notes to every attendee within 48 hours
[ ] Activate the 90-day post-retreat nurture sequence in HubSpot
[ ] Upload all attendees with detailed context and conversation notes to CRM
[ ] Identify the top retreat-to-pipeline opportunities
[ ] Schedule follow-up discovery or check-in calls with warm prospects","2026-06-27","2026-07-03","Pastors Retreat (2)","event-marketing"
"[Pastors Retreat (2)] Phase 7: ROI Analysis","Event: Pastors Retreat (2)
Location: TBD
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30/60/90-day pipeline and revenue report tied to retreat attendees
[ ] Calculate cost per qualified relationship built
[ ] Document retreat outcomes, attendee feedback, and key highlights
[ ] Deliver the full ROI and relationship impact report to leadership","2026-07-26","2026-07-26","Pastors Retreat (2)","event-marketing"
"[Q3 Sporting Event July (TBD)] Phase 1: Mission & Strategy","Event: Q3 Sporting Event July (TBD)
Location: TBD
Phase 1: Mission & Strategy

To-Do:
[ ] Define event purpose and VIP relationship objectives
[ ] Confirm or select the specific sporting event, venue, and date
[ ] Set attendance target (~18–23 VIP guests) and guest list criteria
[ ] Confirm $30,000 budget and get leadership approval
[ ] Document faith guardrails and hospitality standards
[ ] Assign event owner and host team","2026-04-10","2026-05-08","Q3 Sporting Event July (TBD)","event-marketing"
"[Q3 Sporting Event July (TBD)] Phase 2: Theme & Audience","Event: Q3 Sporting Event July (TBD)
Location: TBD
Phase 2: Theme & Audience

To-Do:
[ ] Build the finalized VIP guest list in HubSpot with priority tiers
[ ] Draft personalized invitation messaging for each guest or segment
[ ] Confirm invite format: digital, physical, or hybrid
[ ] Align branded visuals and experience theme for the event
[ ] Send invitations and track all RSVPs in HubSpot","2026-05-22","2026-06-05","Q3 Sporting Event July (TBD)","event-marketing"
"[Q3 Sporting Event July (TBD)] Phase 3: Systems & Planning","Event: Q3 Sporting Event July (TBD)
Location: TBD
Phase 3: Systems & Planning

To-Do:
[ ] Purchase or confirm ticket block, suite, or VIP access
[ ] Finalize all logistics: transportation, parking, catering, and hospitality setup
[ ] Configure HubSpot for guest tracking and post-event follow-up
[ ] Define specific conversation goals or a natural CTA for each key guest
[ ] Build a detailed run-of-show for the event evening","2026-06-19","2026-07-03","Q3 Sporting Event July (TBD)","event-marketing"
"[Q3 Sporting Event July (TBD)] Phase 4: Final Prep","Event: Q3 Sporting Event July (TBD)
Location: TBD
Phase 4: Final Prep

To-Do:
[ ] Confirm final headcount and lock the VIP guest list
[ ] Prepare branded guest experience materials and personalized gifts
[ ] Assign a primary event host and on-site support staff
[ ] Brief every team member on individual conversation goals for each guest
[ ] Get final approval on all logistics, gifts, and the overall experience plan","2026-07-17","2026-07-30","Q3 Sporting Event July (TBD)","event-marketing"
"[Q3 Sporting Event July (TBD)] Phase 5: Execution","Event: Q3 Sporting Event July (TBD)
Location: TBD
Phase 5: Execution

To-Do:
[ ] Welcome each VIP guest personally upon arrival
[ ] Execute hospitality and the guest experience per the run-of-show
[ ] Capture key conversation notes for every guest in real time
[ ] Identify pipeline opportunities and follow-up priorities on the spot
[ ] Communicate PRAY.COM's mission and value naturally throughout the evening","2026-07-31","2026-07-31","Q3 Sporting Event July (TBD)","event-marketing"
"[Q3 Sporting Event July (TBD)] Phase 6: Follow-up","Event: Q3 Sporting Event July (TBD)
Location: TBD
Phase 6: Follow-up

To-Do:
[ ] Send personalized thank-you messages to every guest within 24 hours
[ ] Activate the 90-day post-event nurture sequence in HubSpot
[ ] Upload all guests with full conversation notes to CRM
[ ] Flag guests ready for SDR or direct sales outreach
[ ] Share the event debrief with the sales team within 48 hours","2026-08-01","2026-08-07","Q3 Sporting Event July (TBD)","event-marketing"
"[Q3 Sporting Event July (TBD)] Phase 7: ROI Analysis","Event: Q3 Sporting Event July (TBD)
Location: TBD
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30/60/90-day pipeline report tied to VIP event guests
[ ] Calculate ROI vs. $30,000 event budget
[ ] Document relationships built, pipeline created, and opportunities identified
[ ] Share the final performance report with leadership","2026-08-30","2026-08-30","Q3 Sporting Event July (TBD)","event-marketing"
"[Q3 Sporting Event September (TBD)] Phase 1: Mission & Strategy","Event: Q3 Sporting Event September (TBD)
Location: TBD
Phase 1: Mission & Strategy

To-Do:
[ ] Define event purpose and VIP relationship objectives
[ ] Confirm or select the specific sporting event, venue, and date
[ ] Set attendance target (~18–23 VIP guests) and guest list criteria
[ ] Confirm $30,000 budget and get leadership approval
[ ] Document faith guardrails and hospitality standards
[ ] Assign event owner and host team","2026-05-12","2026-06-09","Q3 Sporting Event September (TBD)","event-marketing"
"[Q3 Sporting Event September (TBD)] Phase 2: Theme & Audience","Event: Q3 Sporting Event September (TBD)
Location: TBD
Phase 2: Theme & Audience

To-Do:
[ ] Build the finalized VIP guest list in HubSpot with priority tiers
[ ] Draft personalized invitation messaging for each guest or segment
[ ] Confirm invite format: digital, physical, or hybrid
[ ] Align branded visuals and experience theme for the event
[ ] Send invitations and track all RSVPs in HubSpot","2026-06-23","2026-07-07","Q3 Sporting Event September (TBD)","event-marketing"
"[Q3 Sporting Event September (TBD)] Phase 3: Systems & Planning","Event: Q3 Sporting Event September (TBD)
Location: TBD
Phase 3: Systems & Planning

To-Do:
[ ] Purchase or confirm ticket block, suite, or VIP access
[ ] Finalize all logistics: transportation, parking, catering, and hospitality setup
[ ] Configure HubSpot for guest tracking and post-event follow-up
[ ] Define specific conversation goals or a natural CTA for each key guest
[ ] Build a detailed run-of-show for the event evening","2026-07-21","2026-08-04","Q3 Sporting Event September (TBD)","event-marketing"
"[Q3 Sporting Event September (TBD)] Phase 4: Final Prep","Event: Q3 Sporting Event September (TBD)
Location: TBD
Phase 4: Final Prep

To-Do:
[ ] Confirm final headcount and lock the VIP guest list
[ ] Prepare branded guest experience materials and personalized gifts
[ ] Assign a primary event host and on-site support staff
[ ] Brief every team member on individual conversation goals for each guest
[ ] Get final approval on all logistics, gifts, and the overall experience plan","2026-08-18","2026-08-31","Q3 Sporting Event September (TBD)","event-marketing"
"[Q3 Sporting Event September (TBD)] Phase 5: Execution","Event: Q3 Sporting Event September (TBD)
Location: TBD
Phase 5: Execution

To-Do:
[ ] Welcome each VIP guest personally upon arrival
[ ] Execute hospitality and the guest experience per the run-of-show
[ ] Capture key conversation notes for every guest in real time
[ ] Identify pipeline opportunities and follow-up priorities on the spot
[ ] Communicate PRAY.COM's mission and value naturally throughout the evening","2026-09-01","2026-09-01","Q3 Sporting Event September (TBD)","event-marketing"
"[Q3 Sporting Event September (TBD)] Phase 6: Follow-up","Event: Q3 Sporting Event September (TBD)
Location: TBD
Phase 6: Follow-up

To-Do:
[ ] Send personalized thank-you messages to every guest within 24 hours
[ ] Activate the 90-day post-event nurture sequence in HubSpot
[ ] Upload all guests with full conversation notes to CRM
[ ] Flag guests ready for SDR or direct sales outreach
[ ] Share the event debrief with the sales team within 48 hours","2026-09-02","2026-09-08","Q3 Sporting Event September (TBD)","event-marketing"
"[Q3 Sporting Event September (TBD)] Phase 7: ROI Analysis","Event: Q3 Sporting Event September (TBD)
Location: TBD
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30/60/90-day pipeline report tied to VIP event guests
[ ] Calculate ROI vs. $30,000 event budget
[ ] Document relationships built, pipeline created, and opportunities identified
[ ] Share the final performance report with leadership","2026-10-01","2026-10-01","Q3 Sporting Event September (TBD)","event-marketing"
"[Family Reunion] Phase 1: Mission & Strategy","Event: Family Reunion
Location: TBD
Phase 1: Mission & Strategy

To-Do:
[ ] Define conference objective: leads, awareness, or relationship building
[ ] Confirm participation format (attending, co-sponsoring, or speaking)
[ ] Set success targets: MQLs, meetings booked, and key contacts made
[ ] Confirm budget and get leadership approval
[ ] Get faith alignment sign-off
[ ] Assign event owner and attending team","2026-07-07","2026-08-04","Family Reunion","event-marketing"
"[Family Reunion] Phase 2: Theme & Audience","Event: Family Reunion
Location: TBD
Phase 2: Theme & Audience

To-Do:
[ ] Align PRAY.COM messaging with the specific conference audience
[ ] Define ICP profile and lead qualification criteria for this event
[ ] Prepare conference-appropriate materials, handouts, and collateral
[ ] Build a pre-conference outreach list of expected attendees
[ ] Get all messaging and materials reviewed and approved","2026-08-18","2026-09-01","Family Reunion","event-marketing"
"[Family Reunion] Phase 3: Systems & Planning","Event: Family Reunion
Location: TBD
Phase 3: Systems & Planning

To-Do:
[ ] Configure HubSpot to capture leads and track interactions at the event
[ ] Finalize travel, hotel, and on-site logistics for the attending team
[ ] Confirm any sponsorship deliverables or session commitments due to organizer
[ ] Build a daily schedule and run-of-show for the attending team","2026-09-15","2026-09-29","Family Reunion","event-marketing"
"[Family Reunion] Phase 4: Final Prep","Event: Family Reunion
Location: TBD
Phase 4: Final Prep

To-Do:
[ ] Confirm final staffing and designate the on-site owner
[ ] Pack or ship all materials, handouts, and branded items
[ ] Brief the attending team on messaging, goals, and lead qualification criteria
[ ] Confirm any pre-scheduled meetings or booking slots","2026-10-13","2026-10-26","Family Reunion","event-marketing"
"[Family Reunion] Phase 5: Execution","Event: Family Reunion
Location: TBD
Phase 5: Execution

To-Do:
[ ] Attend all relevant sessions and actively represent PRAY.COM
[ ] Capture qualified leads and hold meaningful conversations with ICP contacts
[ ] Log key contact notes in real time or immediately after each session
[ ] Flag top prospects for immediate post-event follow-up","2026-10-27","2026-10-27","Family Reunion","event-marketing"
"[Family Reunion] Phase 6: Follow-up","Event: Family Reunion
Location: TBD
Phase 6: Follow-up

To-Do:
[ ] Upload all leads and contacts to HubSpot within 48 hours
[ ] Activate the post-event nurture sequence
[ ] Send personalized follow-up messages to every key contact
[ ] Share the conference debrief and top contact list with the sales team","2026-10-28","2026-11-03","Family Reunion","event-marketing"
"[Family Reunion] Phase 7: ROI Analysis","Event: Family Reunion
Location: TBD
Phase 7: ROI Analysis

To-Do:
[ ] Pull 30-day report on leads, meetings booked, and pipeline created
[ ] Calculate event ROI vs. total conference investment
[ ] Document key insights, standout contacts, and recommendations
[ ] Deliver the final event performance summary to leadership","2026-11-26","2026-11-26","Family Reunion","event-marketing"
"[November Sporting Event (TBD)] Phase 1: Mission & Strategy","Event: November Sporting Event (TBD)
Location: Dallas, TX
Phase 1: Mission & Strategy

To-Do:
[ ] Define event purpose and VIP relationship objectives
[ ] Confirm or select the specific sporting event, venue, and date
[ ] Set attendance target (~18–23 VIP guests) and guest list criteria
[ ] Confirm $30,000 budget and get leadership approval
[ ] Document faith guardrails and hospitality standards
[ ] Assign event owner and host team","2026-07-15","2026-08-12","November Sporting Event (TBD)","event-marketing"
"[November Sporting Event (TBD)] Phase 2: Theme & Audience","Event: November Sporting Event (TBD)
Location: Dallas, TX
Phase 2: Theme & Audience

To-Do:
[ ] Build the finalized VIP guest list in HubSpot with priority tiers
[ ] Draft personalized invitation messaging for each guest or segment
[ ] Confirm invite format: digital, physical, or hybrid
[ ] Align branded visuals and experience theme for the event
[ ] Send invitations and track all RSVPs in HubSpot","2026-08-26","2026-09-09","November Sporting Event (TBD)","event-marketing"
"[November Sporting Event (TBD)] Phase 3: Systems & Planning","Event: November Sporting Event (TBD)
Location: Dallas, TX
Phase 3: Systems & Planning

To-Do:
[ ] Purchase or confirm ticket block, suite, or VIP access
[ ] Finalize all logistics: transportation, parking, catering, and hospitality setup
[ ] Configure HubSpot for guest tracking and post-event follow-up
[ ] Define specific conversation goals or a natural CTA for each key guest
[ ] Build a detailed run-of-show for the event evening","2026-09-23","2026-10-07","November Sporting Event (TBD)","event-marketing"
"[November Sporting Event (TBD)] Phase 4: Final Prep","Event: November Sporting Event (TBD)
Location: Dallas, TX
Phase 4: Final Prep

To-Do:
[ ] Confirm final headcount and lock the VIP guest list
[ ] Prepare branded guest experience materials and personalized gifts
[ ] Assign a primary event host and on-site support staff
[ ] Brief every team member on individual conversation goals for each guest
[ ] Get final approval on all logistics, gifts, and the overall experience plan","2026-10-21","2026-11-03","November Sporting Event (TBD)","event-marketing"
"[November Sporting Event (TBD)] Phase 5: Execution","Event: November Sporting Event (TBD)
Location: Dallas, TX
Phase 5: Execution

To-Do:
[ ] Welcome each VIP guest personally upon arrival
[ ] Execute hospitality and the guest experience per the run-of-show
[ ] Capture key conversation notes for every guest in real time
[ ] Identify pipeline opportunities and follow-up priorities on the spot
[ ] Communicate PRAY.COM's mission and value naturally throughout the evening","2026-11-04","2026-11-06","November Sporting Event (TBD)","event-marketing"
"[November Sporting Event (TBD)] Phase 6: Follow-up","Event: November Sporting Event (TBD)
Location: Dallas, TX
Phase 6: Follow-up

To-Do:
[ ] Send personalized thank-you messages to every guest within 24 hours
[ ] Activate the 90-day post-event nurture sequence in HubSpot
[ ] Upload all guests with full conversation notes to CRM
[ ] Flag guests ready for SDR or direct sales outreach
[ ] Share the event debrief with the sales team within 48 hours","2026-11-07","2026-11-13","November Sporting Event (TBD)","event-marketing"
"[November Sporting Event (TBD)] Phase 7: ROI Analysis","Event: November Sporting Event (TBD)
Location: Dallas, TX
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30/60/90-day pipeline report tied to VIP event guests
[ ] Calculate ROI vs. $30,000 event budget
[ ] Document relationships built, pipeline created, and opportunities identified
[ ] Share the final performance report with leadership","2026-12-06","2026-12-06","November Sporting Event (TBD)","event-marketing"
